Sambalpur,Rairakhol (rampu),8.11,740.0,350,302,189,52,42,22,0.9,231,79,38,0.6,0,43.72290370132611,1
Jharsuguda,Ram kumar Chawk,7.86,600.0,289,254,150,72,18,23,2.8,224,87,1,0.21,1,23.042608344181133,0
Kendujhar,Anandapur,7.67,950.0,507,390,181,120,22,49,1.6,221,158,49,0.13,0,18.679632743151174,0
Angul,Panchmahala,8.04,1200.0,635,270,285,24,51,150,1.3,348,182,56,1.36,0,80.43203747151482,3
Boudh,Boudh,7.62,1450.0,728,435,362,56,72,131,3.8,442,143,105,0.54,0,42.75985096987612,1
Balasore,Bhalukasuni,8.01,75.0,81,35,29,10,2,15,0.5,35,27,0,0.16,1,16.924670851239622,0
Khordha,B-34 Ganga Nagar,7.6,310.0,156,84,111,12,13,29,4.5,135,20,11,0.05,1,12.561792264710467,0
Ganjam,Cheramaria,8.3,750.0,384,157,300,24,24,92,1.0,366,49,15,0.76,0,51.450897713175046,2
Jajpur,Duburi,7.87,500.0,236,150,225,25,21,35,1.1,275,12,6,0.46,0,32.99302390024051,1
Bargarh,Kalapani,7.31,560.0,292,147,178,31,17,46,26.0,217,31,36,0.31,0,39.42903007859944,1
Kandhamal,Lingagada,8.0,500.0,268,184,129,51,13,27,5.8,154,94,2,0.1,1,20.28792180079293,0
Gajapati,Madhuramba,8.1,340.0,156,126,94,28,13,19,1.8,160,24,2,0.36,1,29.638921099684485,1
Sambalpur,Parmanpur,8.3,680.0,331,84,269,13,12,101,0.7,304,41,1,3.6,0,183.8170025590317,3
Angul,Tentulai,7.91,1680.0,830,565,450,50,107,125,1.3,549,222,56,1.11,0,73.10760965893638,2
Balasore,Kunchibenia,7.74,190.0,98,79,33,24,5,3,0.9,41,34,5,0.16,1,15.529246256061114,0
Bargarh,Sulsulia,7.58,850.0,536,402,218,69,56,62,2.0,266,127,90,0.27,0,26.513747075058802,1
Rayagada,Shirikona,7.52,650.0,321,260,277,59,27,31,3.1,338,32,3,0.29,0,24.992879758345442,0
Cuttack,Gopapur,8.01,576.0,334,220,210,34,33,54,0.1,256,82,6,0.47,0,35.15652278517522,1
Angul,Durgapur 1,7.84,1190.0,610,500,340,94,64,42,2.2,415,158,46,0.67,0,49.24296317241805,1
Boudh,Poulam 2,8.14,460.0,235,200,158,48,19,5,11.8,193,33,23,0.29,1,35.20629721053945,1
Gajapati,Chandragiri,7.9,800.0,436,222,136,34,33,65,28.4,166,152,42,1.24,0,91.44137291298529,3
Jharsuguda,Sahaspur,7.81,350.0,181,159,75,44,12,15,0.5,124,57,9,0.17,1,17.572263660363483,0
Sonepur,Antarda,8.02,810.0,446,177,158,54,10,71,34.0,193,133,48,0.9,0,79.3170951721452,3
